Cow;days;milk_fit_conc;milk_real_conc;fat_fit_conc;fat_real_conc;protein_fit_conc;protein_real_conc;fit_price;real_price
67388;206;29,8967184;43,35239434;4,461286188;4,703336529;3,51640525;3,709416433;9,916660347;15,40536101
67388;207;29,84883733;43,28296334;4,463461376;4,705629733;3,518556963;3,711686251;9,907954665;15,3916633
67388;208;29,80111617;43,21376422;4,465643221;4,707929956;3,520703462;3,713950569;9,899277533;15,37801053
67388;209;29,75355505;43,14479718;4,467831663;4,710237134;3,522844756;3,716209396;9,890629061;15,36440287
67388;210;29,70615411;43,0760624;4,470026645;4,712551206;3,524980854;3,718462742;9,882009352;15,35084046
67388;211;29,65891344;43,00756003;4,472228109;4,714872112;3,527111766;3,720710617;9,873418509;15,33732349
67388;212;29,61183315;42,93929022;4,474435998;4,717199792;3,5292375;3,72295303;9,864856634;15,32385208
67388;213;29,56491332;42,87125309;4,476650257;4,719534187;3,531358067;3,725189992;9,856323822;15,31042641
67388;214;29,51815402;42,80344874;4,478870832;4,721875241;3,533473475;3,727421513;9,847820171;15,29704661
67388;215;29,47155531;42,73587725;4,481097668;4,724222895;3,535583736;3,729647603;9,839345772;15,28371282
67388;216;29,42511724;42,6685387;4,483330713;4,726577096;3,537688859;3,731868274;9,830900717;15,2704252
67388;217;29,37883983;42,60143313;4,485569915;4,728937788;3,539788855;3,734083536;9,822485095;15,25718386
67388;218;29,33272312;42,53456058;4,487815223;4,731304917;3,541883733;3,736293399;9,814098991;15,24398895
67388;219;29,28676712;42,46792107;4,490066587;4,73367843;3,543973505;3,738497876;9,805742492;15,23084059
67388;220;29,24097183;42,40151459;4,492323957;4,736058275;3,54605818;3,740696976;9,797415678;15,21773892
67388;221;29,19533723;42,33534115;4,494587285;4,738444401;3,54813777;3,742890713;9,789118631;15,20468405
67388;222;29,14986332;42,2694007;4,496856523;4,740836758;3,550212285;3,745079096;9,780851429;15,1916761
67388;223;29,10455005;42,2036932;4,499131623;4,743235296;3,552281737;3,747262137;9,772614149;15,17871519
67388;224;29,05939741;42,13821861;4,50141254;4,745639966;3,554346136;3,749439848;9,764406864;15,16580143
67388;225;29,01440533;42,07297686;4,503699228;4,74805072;3,556405494;3,751612242;9,756229647;15,15293494
67388;226;28,96957376;42,00796785;4,505991642;4,75046751;3,558459821;3,753779329;9,748082571;15,14011582
67388;227;28,92490263;41,94319151;4,508289738;4,752890291;3,56050913;3,755941121;9,739965703;15,12734418
67388;228;28,88039188;41,87864771;4,510593473;4,755319017;3,562553431;3,758097631;9,731879111;15,11462013
67388;229;28,83604142;41,81433635;4,512902804;4,757753642;3,564592736;3,760248871;9,723822861;15,10194375
67388;230;28,79185115;41,75025728;4,515217688;4,760194122;3,566627056;3,762394853;9,715797016;15,08931515
67388;231;28,74782099;41,68641037;4,517538085;4,762640414;3,568656403;3,764535589;9,70780164;15,07673442
67388;232;28,70395082;41,62279547;4,519863954;4,765092474;3,57068079;3,766671091;9,699836793;15,06420165
67388;233;28,66024054;41,55941241;4,522195254;4,76755026;3,572700226;3,768801372;9,691902533;15,05171694
67388;234;28,61669001;41,49626102;4,524531945;4,770013731;3,574714725;3,770926444;9,683998919;15,03928038
67388;235;28,57329913;41,43334111;4,526873991;4,772482846;3,576724299;3,773046321;9,676126007;15,02689203
67388;236;28,53006774;41,37065249;4,52922135;4,774957563;3,578728958;3,775161013;9,668283851;15,014552
67388;237;28,48699572;41,30819495;4,531573987;4,777437844;3,580728715;3,777270535;9,660472505;15,00226035
67388;238;28,44408291;41,24596829;4,533931864;4,779923649;3,582723583;3,779374898;9,65269202;14,99001718
67388;239;28,40132916;41,18397228;4,536294944;4,78241494;3,584713572;3,781474116;9,644942446;14,97782254
